BOOK,101,1984,1949,6,8,AVAILABLE,George Orwell,9780451524935,Dystopian,328
BOOK,102,To Kill a Mockingbird,1960,7,11,AVAILABLE,Harper Lee,9780061120084,Classic,281
BOOK,103,The Great Gatsby,1925,4,10,AVAILABLE,F. Scott Fitzgerald,9780743273565,Classic,180
BOOK,104,Le Petit Prince,1943,4,6,AVAILABLE,Antoine de Saint-Exupéry,9780156012195,Fable,96
BOOK,105,Dune,1965,8,1,AVAILABLE,Frank Herbert,9780441172719,Sci-Fi,412
BOOK,106,Les Misérables,1862,4,3,AVAILABLE,Victor Hugo,9782070409228,Historical,1462
BOOK,107,Clean Code,2008,8,1,AVAILABLE,Robert C. Martin,9780132350884,Software Engineering,464
MAGAZINE,201,National Geographic,2023,5,1,AVAILABLE,112
MAGAZINE,202,Time Magazine,2023,11,20,AVAILABLE,64
MAGAZINE,203,Science & Vie,2024,1,15,AVAILABLE,128
